year,quarter,origin_city,destination_city,distance_miles,passengers,avg_fare,largest_carrier,largest_carrier_market_share,largest_carrier_fare,lowest_fare_carrier,lowest_fare_carrier_share,lowest_fare,year_quarter,fare_per_mile
2008,3,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,1325.21,183.24,DL,0.44,179.3,FL,0.19,160.91,2008_Q3,0.2633
2008,3,"Denver, CO","Salt Lake City, UT",390,1320.0,106.32,F9,0.31,96.2,F9,0.31,96.2,2008_Q3,0.2726
2008,3,"New Orleans, LA","New York City, NY (Metropolitan Area)",1218,1314.34,185.46,B6,0.4,166.19,B6,0.4,166.19,2008_Q3,0.1523
2008,3,"Dallas/Fort Worth, TX","Kansas City, MO",461,1296.08,133.43,WN,0.52,121.65,WN,0.52,121.65,2008_Q3,0.2894
2008,3,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,1289.56,183.46,AA,0.47,199.48,SY,0.13,119.79,2008_Q3,0.2151
2008,3,"Boston, MA (Metropolitan Area)","Seattle, WA",2496,1289.45,292.93,AS,0.22,364.88,B6,0.2,260.41,2008_Q3,0.1174
2008,3,"New York City, NY (Metropolitan Area)","St. Louis, MO",928,1288.58,282.57,AA,0.58,296.93,AA,0.58,296.93,2008_Q3,0.3045
2008,3,"Austin, TX","San Francisco, CA (Metropolitan Area)",1504,1288.26,202.67,WN,0.38,150.07,WN,0.38,150.07,2008_Q3,0.1348
2008,3,"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",906,1277.82,181.04,DL,0.37,191.58,FL,0.25,145.15,2008_Q3,0.1998
2008,3,"Phoenix, AZ","Salt Lake City, UT",507,1275.0,141.44,WN,0.52,147.42,DL,0.24,131.68,2008_Q3,0.279
2008,3,"Detroit, MI","San Francisco, CA (Metropolitan Area)",2079,1272.39,261.69,NW,0.61,270.21,US,0.1,230.37,2008_Q3,0.1259
2008,3,"Orlando, FL","Pittsburgh, PA",834,1269.23,118.88,WN,0.37,117.19,FL,0.35,109.19,2008_Q3,0.1425
2008,3,"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",1593,1267.17,232.66,AA,0.58,241.02,WN,0.25,208.26,2008_Q3,0.1461
2008,3,"Dallas/Fort Worth, TX","Philadelphia, PA",1302,1264.34,226.03,AA,0.55,230.11,US,0.31,223.77,2008_Q3,0.1736
2008,3,"Denver, CO","Philadelphia, PA",1557,1251.08,220.3,UA,0.27,261.71,WN,0.21,184.66,2008_Q3,0.1415
2008,3,"Dallas/Fort Worth, TX","Seattle, WA",1670,1250.0,256.02,AA,0.51,271.15,AS,0.26,234.0,2008_Q3,0.1533
2008,3,"Kansas City, MO","Washington, DC (Metropolitan Area)",967,1249.56,207.4,WN,0.34,175.53,WN,0.34,175.53,2008_Q3,0.2145
2008,3,"Las Vegas, NV","Sacramento, CA",397,1249.34,132.24,WN,0.77,134.48,US,0.2,125.07,2008_Q3,0.3331
2008,3,"Portland, OR","Sacramento, CA",479,1239.78,114.65,WN,0.7,113.05,WN,0.7,113.05,2008_Q3,0.2394
